http://epos-ip.org/WP16/Analogue, "EPOS Analogue Laboratories"
http://epos-ip.org/WP16/Analogue/Main_Setting, "Main Setting"
http://epos-ip.org/WP16/Analogue/Process/Hazard, "Process/Hazard"
http://epos-ip.org/WP16/Analogue/Deformation_Type, "Deformation Type"
http://epos-ip.org/WP16/Analogue/Material, "Material"
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/extendedTerraneSetting,"extended terrane setting","Tectonic setting characterized by extension of the upper crust, manifested by formation of rift valleys or basin and range physiography, with arrays of low to high angle normal faults. Modern examples include the North Sea, East Africa, and the Basin and Range of the North American Cordillera. Typically applied in continental crustal settings."
http://inspire.ec.europa.eu/codelist/EventProcessValue/deformation,deformation,"Movement of rock bodies by displacement on fault or shear zones, or change in shape of a body of earth material."
http://inspire.ec.europa.eu/codelist/EventProcessValue/ductileFlow,"ductile flow","Deformation without apparent loss of continuity at the scale of observation."
http://inspire.ec.europa.eu/codelist/EventProcessValue/folding,folding,"Deformation in which planar surfaces become regularly curviplanar surfaces with definable limbs (zones of lower curvature) and hinges (zones of higher curvature)."
http://inspire.ec.europa.eu/codelist/EventProcessValue/fracturing,fracturing,"The formation of a surface of failure resulting from stress."
http://inspire.ec.europa.eu/codelist/EventProcessValue/shearing,shearing,"A deformation in which contiguous parts of a body are displaced relatively to each other in a direction parallel to a surface. The surface may be a discrete fault, or the deformation may be a penetrative strain and the shear surface is a geometric abstraction."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/terrestrialSetting,"terrestrial setting","Setting characterized by absence of direct marine influence. Most of the subaerial settings are also terrestrial, but lacustrine settings, while terrestrial, are not subaerial, so the subaerial settings are not included as subcategories."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/subaqueousSetting,"subaqueus setting","Setting situated in or under permanent, standing water. Used for marine and lacustrine settings, but not for fluvial settings."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/deltaicSystemSetting,"deltaic system setting","Near flat areas of ocean floor, slope less than 1:1000; generally receive only distal turbidite and pelagic sediments."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/earthInteriorSetting,"earth interior setting","Geologic environments within the solid Earth."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/continentalCrustalSetting,"continental-crustal setting","That type of the Earth's crust which underlies the continents and the continental shelves; it is equivalent to the sial and continental sima and ranges in thickness from about 25 km to more than 70 km under mountain ranges, averaging ~40 km. The density of the continental crust averages ~2.8 g/cm3 and is ~2.7 g.cm3 in the upper layer. The velocities of compressional seismic waves through it average ~6.5 km/s and are less than ~7.0 km/sec."
http://inspire.ec.europa.eu/codelist/EventEnvironmentValue/marineSetting,"marine setting","Setting characterized by location under the surface of the sea."
http://inspire.ec.europa.eu/codelist/FaultTypeValue/fault, fault,"A discrete surface, or zone of discrete surfaces, with some thickness, separating two rock masses across which one mass has slid past the other."
http://resource.geosciml.org/classifier/cgi/faulttype/strike_slip_fault, "strike-slip fault","Fault with strike-parallel displacement component of slip vector more than 10 times the dip-parallel component of the slip vector at at least one location along the mapped trace of the fault."
http://resource.geosciml.org/classifier/cgi/eventenvironment/earth_surface_setting, "earth surface settting", "	Geologic environments on the surface of the solid Earth. Hierarchy presented here is based on assumption that a particular setting may be specified by a combination of a climatic setting with one or more process or geomorphically defined settings.."
http://resource.geosciml.org/classifier/cgi/eventenvironment/crust, "crustal setting", "The outermost layer or shell of the Earth, defined according to various criteria, including seismic velocity, density and composition; that part of the Earth above the Mohorovicic discontinuity, made up of the sial and the sima."
