IEDA Features Keywords,"IEDA Feature of Interest Keywords"
IEDA-FEATURES-1, "Antarctica", "TBD"
IEDA-FEATURES-2, "Arctic", "TBD"
IEDA-FEATURES-3, "Back Arc Basin", "TBD"
IEDA-FEATURES-4, "Chemistry:Ice", "TBD"
IEDA-FEATURES-5, "Continental Arc", "TBD"
IEDA-FEATURES-6, "Continental Margin", "TBD"
IEDA-FEATURES-7, "Continental Rift", "TBD"
IEDA-FEATURES-8, "Craton", "TBD"
IEDA-FEATURES-9, "Critical Zone", "TBD"
IEDA-FEATURES-10, "Glaciers/Ice Sheet", "TBD"
IEDA-FEATURES-11, "Global", "TBD"
IEDA-FEATURES-12, "Hydrothermal Vent", "TBD"
IEDA-FEATURES-13, "IntraContinental Magmatism", "TBD"
IEDA-FEATURES-14, "Island Arc", "TBD"
IEDA-FEATURES-15, "Marine Sediments", "TBD"
IEDA-FEATURES-16, "Meteorite", "TBD"
IEDA-FEATURES-17, "Moon", "TBD"
IEDA-FEATURES-18, "Ocean Island/Plateau", "TBD"
IEDA-FEATURES-19, "Physical Properties", "TBD"
IEDA-FEATURES-20, "Radar", "TBD"
IEDA-FEATURES-21, "Remote Sensing imagery", "TBD"
IEDA-FEATURES-22, "Sea Ice", "TBD"
IEDA-FEATURES-23, "Southern Ocean", "TBD"
IEDA-FEATURES-24, "Spreading Center", "TBD"
IEDA-FEATURES-25, "Subduction Zone", "TBD"
